section,bucket,company_name,website,cfo,cao,initiative_type_or_signal,timeline_or_date,source_date,summary_or_why_it_matters,role_we_could_fill,source,score
ipo,,Summit Grid,https://summitgrid.example.com,,,F-1 submitted,2026-04-12,2026-04-12,Cross-border filing raises SEC reporting and controls complexity.,SEC & Regulatory Reporting,https://www.sec.gov/ixviewer/summit-f1,93
ipo,,Atlas Robotics,https://atlas.example.com,,,S-1 filed,2026-04-10,2026-04-10,Large-scale IPO readiness effort likely underway.,IPO Readiness,https://www.sec.gov/ixviewer/atlas-s1,93
ipo,,Harbor Payments,https://harborpayments.example.com,,,S-1/A amendment filed,2026-04-09,2026-04-09,Amendment indicates accelerated readiness and disclosure refinement.,Technical Accounting,https://www.sec.gov/ixviewer/harbor-s1a,93
ipo,,Northwind Data,https://northwind.example.com,,,Targeting NYSE listing window,2026-04-08,2026-04-08,Creates near-term finance transformation demand.,SEC & Regulatory Reporting,https://example.com/ipo-calendar/northwind,93
ipo,,Cobalt Logistics,https://cobaltlogistics.example.com,,,Roadshow timeline announced,2026-04-07,2026-04-07,"Roadshow prep creates close, reporting, and forecast pressure.",Financial Reporting,https://example.com/ipo-calendar/cobalt,93
top10,0–30 days,Granite Pharma,https://granitepharma.example.com,Riley Chen,Drew Patel,Regulatory / ESG Modernization,12 months,2026-04-11,Announced regulated reporting platform overhaul and controls redesign.,SEC & Regulatory Reporting,https://www.sec.gov/ixviewer/granite-8k,90
top10,0–30 days,Cresta Software,https://cresta.example.com,Quinn Davis,Unknown,IPO Readiness,12 months,2026-04-10,Pre-IPO readiness program announced with controllership uplift plans.,IPO Readiness,https://news.example.com/cresta-ipo-readiness,90
top10,0–30 days,Apex Manufacturing,https://apex.example.com,Jordan Lee,Morgan Diaz,Material Weakness / Restatement,2 quarters,2026-04-09,Disclosed internal control remediation with expanded transformation scope.,SOX / Internal Audit / Controls,https://www.sec.gov/ixviewer/apex-8k,90
top10,0–30 days,Vertex Mobility,https://vertexmobility.example.com,Reese Miller,Unknown,Process Enhancement,8 months,2026-04-08,Finance close acceleration program announced after earnings delays.,GL / Month-End Close,https://news.example.com/vertex-close-program,90
top10,0–30 days,Helios Energy,https://helios.example.com,Casey Smith,Unknown,ERP / EPM Transformation,18 months,2026-04-06,Announced enterprise ERP transformation and close modernization.,System Implementation,https://investor.helios.example.com/news/erp-program,90
top10,0–30 days,Meridian Telecom,https://meridiantelecom.example.com,Ari Flores,Unknown,Capital Markets,6 months,2026-04-05,Debt refinancing and capital raise require tighter forecasts and reporting.,Budgeting & Forecasting,https://www.sec.gov/ixviewer/meridian-8k,90
top10,0–30 days,BlueRiver Health,https://blueriver.example.com,Avery Patel,Taylor Kim,M&A / Integration,9 months,2026-04-04,Divestiture and carve-out program announced with finance separation work.,Divestitures / Carve-Outs,https://news.example.com/blueriver-carveout,90
top10,0–30 days,Pioneer Retail,https://pioneerretail.example.com,Taylor Wong,Unknown,Strategic Capex,18 months,2026-04-03,Major automation capex program announced with finance transformation dependencies.,Project Management,https://www.sec.gov/ixviewer/pioneer-8k,90
top10,0–30 days,Nova Foods,https://novafoods.example.com,Jamie Ross,Unknown,Restructuring,9 months,2026-04-02,Cost restructuring program launched with finance operating model redesign.,Restructuring,https://investor.novafoods.example.com/news/restructuring,90
top10,0–30 days,Union Aerospace,https://unionaero.example.com,Morgan Hale,Sam Ortiz,Advisory RFP,6 months,2026-04-01,Issued advisory RFP for enterprise finance transformation governance.,Project Management,https://investor.unionaero.example.com/news/advisory-rfp,90
watchlist,31–90 days,Crestline Foods,https://crestline.example.com,Unknown,Unknown,Restructuring,12 months,2026-03-10,Restructuring announced; likely near-miss due to lower urgency.,Restructuring,https://news.example.com/crestline-restructuring,78
watchlist,31–90 days,Lakefront Industrials,https://lakefront.example.com,Unknown,Unknown,Process Enhancement,14 months,2026-02-20,Process redesign discussed but funding timeline remains uncertain.,Process Improvement,https://news.example.com/lakefront-process-refresh,82
